id,categoria,n,m,P,metodo,stato,cmax,tempo_sec,memoria_mb,risolto
small_00,small,14,3,706,DP,OK,236,0.006697893142700195,6.900820732116699,True
small_00,small,14,3,706,PLI,OK,236,0.7495460510253906,116.02734375,True
small_01,small,10,3,594,DP,OK,198,0.0026519298553466797,1.7087669372558594,True
small_01,small,10,3,594,PLI,OK,198,0.6802918910980225,114.0078125,True
small_02,small,8,3,346,DP,OK,119,0.001033782958984375,0.4603691101074219,True
small_02,small,8,3,346,PLI,OK,119,0.6625349521636963,99.8046875,True
small_03,small,11,3,595,DP,OK,206,0.00226593017578125,2.503389358520508,True
small_03,small,11,3,595,PLI,OK,206,0.7081446647644043,115.05859375,True
small_04,small,11,3,426,DP,OK,142,0.0018954277038574219,2.152385711669922,True
small_04,small,11,3,426,PLI,OK,142,0.6294505596160889,113.828125,True
small_05,small,12,3,764,DP,OK,255,0.00677037239074707,5.048496246337891,True
small_05,small,12,3,764,PLI,OK,255,0.5653524398803711,113.79296875,True
small_06,small,9,3,442,DP,OK,151,0.0012748241424560547,0.9509468078613281,True
small_06,small,9,3,442,PLI,OK,151,0.6758732795715332,113.703125,True
small_07,small,13,3,482,DP,OK,161,0.002887725830078125,4.026012420654297,True
small_07,small,13,3,482,PLI,OK,161,0.7202231884002686,115.109375,True
small_08,small,11,3,389,DP,OK,130,0.0013451576232910156,1.9674320220947266,True
small_08,small,11,3,389,PLI,OK,130,0.6608381271362305,114.79296875,True
small_09,small,15,3,743,DP,OK,248,0.00655817985534668,8.617433547973633,True
small_09,small,15,3,743,PLI,OK,248,0.6042678356170654,115.12109375,True
medium_00,medium,24,3,2469,DP,OK,823,0.13994240760803223,106.74946022033691,True
medium_00,medium,24,3,2469,PLI,OK,823,0.6462841033935547,115.90234375,True
medium_01,medium,20,3,2252,DP,OK,751,0.0715789794921875,85.95987319946289,True
medium_01,medium,20,3,2252,PLI,OK,751,0.6170992851257324,116.2421875,True
medium_02,medium,18,3,1806,DP,OK,602,0.035552024841308594,51.75863265991211,True
medium_02,medium,18,3,1806,PLI,OK,602,0.6416192054748535,115.5625,True
medium_03,medium,21,3,2332,DP,OK,778,0.06704163551330566,88.53647232055664,True
medium_03,medium,21,3,2332,PLI,OK,778,0.6365435123443604,116.2890625,True
medium_04,medium,21,3,1872,DP,OK,624,0.04782557487487793,64.02109146118164,True
medium_04,medium,21,3,1872,PLI,OK,624,0.5652165412902832,114.640625,True
medium_05,medium,27,3,2770,DP,OK,924,0.1545259952545166,147.07717514038086,True
medium_05,medium,27,3,2770,PLI,OK,924,0.5863692760467529,115.28125,True
medium_06,medium,27,3,2878,DP,OK,960,0.17628788948059082,166.83124923706055,True
medium_06,medium,27,3,2878,PLI,OK,960,0.591815710067749,115.96875,True
medium_07,medium,23,3,1716,DP,OK,572,0.04635310173034668,58.40353012084961,True
medium_07,medium,23,3,1716,PLI,OK,572,0.5885884761810303,115.48828125,True
