id,categoria,n,m,P,metodo,stato,cmax,tempo_sec,memoria_mb,risolto
small_00,small,14,4,706,DP,OK,177.0,5.388470649719238,1615.5521097183228,True
small_00,small,14,4,706,PLI,OK,177.0,2.344774007797241,117.58984375,True
small_01,small,10,4,594,DP,OK,156.0,1.9905235767364502,425.3687515258789,True
small_01,small,10,4,594,PLI,OK,156.0,0.6683175563812256,116.0859375,True
small_02,small,8,4,346,DP,OK,95.0,0.31845831871032715,82.31414031982422,True
small_02,small,8,4,346,PLI,OK,95.0,0.5652365684509277,114.2421875,True
small_03,small,11,4,595,DP,OK,151.0,2.3026912212371826,468.03673553466797,True
small_03,small,11,4,595,PLI,OK,151.0,0.7531166076660156,115.0546875,True
small_04,small,11,4,426,DP,OK,110.0,1.1276044845581055,229.231671333313,True
small_04,small,11,4,426,PLI,OK,110.0,0.8111326694488525,116.1875,True
small_05,small,12,4,764,DP,OK,193.0,5.041053533554077,1040.4282655715942,True
small_05,small,12,4,764,PLI,OK,193.0,1.0039207935333252,115.98046875,True
small_06,small,9,4,442,DP,OK,124.0,0.8070344924926758,176.2144718170166,True
small_06,small,9,4,442,PLI,OK,124.0,0.5898160934448242,115.18359375,True
small_07,small,13,4,482,DP,OK,121.0,1.6285045146942139,656.9993057250977,True
small_07,small,13,4,482,PLI,OK,121.0,0.5848679542541504,115.50390625,True
small_08,small,11,4,389,DP,OK,98.0,0.6417045593261719,191.3371458053589,True
small_08,small,11,4,389,PLI,OK,98.0,0.5865848064422607,115.08203125,True
small_09,small,15,4,743,DP,OK,186.0,6.344224214553833,2228.137179374695,True
small_09,small,15,4,743,PLI,OK,186.0,0.635981559753418,116.25390625,True
medium_00,medium,24,4,2469,DP,MEMORY_GUARD,,1.430511474609375e-05,0.0004253387451171875,False
medium_00,medium,24,4,2469,PLI,OK,618.0,0.7664833068847656,117.73046875,True
medium_01,medium,20,4,2252,DP,MEMORY_GUARD,,9.298324584960938e-06,0.0004253387451171875,False
medium_01,medium,20,4,2252,PLI,OK,563.0,0.8460040092468262,119.15234375,True
medium_02,medium,18,4,1806,DP,MEMORY_GUARD,,7.62939453125e-06,0.0004253387451171875,False
medium_02,medium,18,4,1806,PLI,OK,452.0,0.8739132881164551,119.33984375,True
medium_03,medium,21,4,2332,DP,MEMORY_GUARD,,7.3909759521484375e-06,0.0004253387451171875,False
medium_03,medium,21,4,2332,PLI,OK,583.0,0.6871709823608398,117.3984375,True
medium_04,medium,21,4,1872,DP,MEMORY_GUARD,,8.106231689453125e-06,0.0004253387451171875,False
medium_04,medium,21,4,1872,PLI,OK,468.0,0.7821536064147949,117.19921875,True
medium_05,medium,27,4,2770,DP,MEMORY_GUARD,,9.059906005859375e-06,0.0004253387451171875,False
medium_05,medium,27,4,2770,PLI,OK,693.0,0.7544727325439453,117.703125,True
medium_06,medium,27,4,2878,DP,MEMORY_GUARD,,8.821487426757812e-06,0.0004253387451171875,False
medium_06,medium,27,4,2878,PLI,OK,720.0,1.0108246803283691,119.65625,True
medium_07,medium,23,4,1716,DP,MEMORY_GUARD,,7.867813110351562e-06,0.0004253387451171875,False
medium_07,medium,23,4,1716,PLI,OK,429.0,0.7350904941558838,119.54296875,True
medium_08,medium,21,4,1834,DP,MEMORY_GUARD,,7.867813110351562e-06,0.0004253387451171875,False
medium_08,medium,21,4,1834,PLI,OK,459.0,0.7285833358764648,118.71484375,True
medium_09,medium,25,4,2632,DP,MEMORY_GUARD,,7.867813110351562e-06,0.0004253387451171875,False
medium_09,medium,25,4,2632,PLI,OK,658.0,0.9474618434906006,121.21484375,True
large_00,large,42,4,6815,DP,MEMORY_GUARD,,9.059906005859375e-06,0.0004253387451171875,False
large_00,large,42,4,6815,PLI,OK,1704.0,0.916764497756958,124.90625,True
large_01,large,34,4,4997,DP,MEMORY_GUARD,,8.821487426757812e-06,0.0004253387451171875,False
large_01,large,34,4,4997,PLI,OK,1250.0,0.7911193370819092,119.65234375,True
large_02,large,31,4,4945,DP,MEMORY_GUARD,,8.344650268554688e-06,0.0004253387451171875,False
large_02,large,31,4,4945,PLI,OK,1237.0,1.1172609329223633,121.3203125,True
large_03,large,37,4,6084,DP,MEMORY_GUARD,,1.239776611328125e-05,0.0004253387451171875,False
large_03,large,37,4,6084,PLI,OK,1521.0,1.1391782760620117,124.6875,True
large_04,large,37,4,5110,DP,MEMORY_GUARD,,7.3909759521484375e-06,0.0004253387451171875,False
large_04,large,37,4,5110,PLI,OK,1278.0,0.6823630332946777,117.9921875,True
large_05,large,49,4,6263,DP,MEMORY_GUARD,,8.58306884765625e-06,0.0004253387451171875,False
large_05,large,49,4,6263,PLI,OK,1566.0,0.6789340972900391,118.99609375,True
large_06,large,48,4,7259,DP,MEMORY_GUARD,,7.62939453125e-06,0.0004253387451171875,False
large_06,large,48,4,7259,PLI,OK,1815.0,1.0927417278289795,123.3359375,True
large_07,large,40,4,5985,DP,MEMORY_GUARD,,8.58306884765625e-06,0.0004253387451171875,False
large_07,large,40,4,5985,PLI,OK,1497.0,0.9504978656768799,122.9140625,True
large_08,large,37,4,5405,DP,MEMORY_GUARD,,7.3909759521484375e-06,0.0004253387451171875,False
large_08,large,37,4,5405,PLI,OK,1352.0,0.9691264629364014,120.6640625,True
large_09,large,44,4,5691,DP,MEMORY_GUARD,,8.821487426757812e-06,0.0004253387451171875,False
large_09,large,44,4,5691,PLI,OK,1423.0,0.781036376953125,121.2421875,True
large_n_00,large_n,594,4,14775,DP,MEMORY_GUARD,,1.5497207641601562e-05,0.0004253387451171875,False
large_n_00,large_n,594,4,14775,PLI,OK,3694.0,1.3233919143676758,138.203125,True
large_n_01,large_n,337,4,8645,DP,MEMORY_GUARD,,8.58306884765625e-06,0.0004253387451171875,False
large_n_01,large_n,337,4,8645,PLI,OK,2162.0,1.4146144390106201,142.36328125,True
large_n_02,large_n,257,4,6590,DP,MEMORY_GUARD,,7.867813110351562e-06,0.0004253387451171875,False
