id,categoria,n,m,P,metodo,stato,cmax,tempo_sec,memoria_mb,risolto
small_00,small,14,4,706,DP,OK,177.0,7.137098073959351,1615.5518655776978,True
small_00,small,14,4,706,PLI,OK,177.0,0.8453400135040283,117.46484375,True
small_01,small,10,4,594,DP,OK,156.0,2.312781810760498,425.3687210083008,True
small_01,small,10,4,594,PLI,OK,156.0,0.6497800350189209,115.22265625,True
small_02,small,8,4,346,DP,OK,95.0,0.3944826126098633,82.3141098022461,True
small_02,small,8,4,346,PLI,OK,95.0,0.6353180408477783,114.62109375,True
small_03,small,11,4,595,DP,OK,151.0,2.542512893676758,468.03648567199707,True
small_03,small,11,4,595,PLI,OK,151.0,0.6756491661071777,114.81640625,True
small_04,small,11,4,426,DP,OK,110.0,1.0163187980651855,229.23140716552734,True
small_04,small,11,4,426,PLI,OK,110.0,0.6827216148376465,115.7265625,True
small_05,small,12,4,764,DP,OK,193.0,5.831750392913818,1040.4287557601929,True
small_05,small,12,4,764,PLI,OK,193.0,0.6814513206481934,115.703125,True
small_06,small,9,4,442,DP,OK,124.0,0.8603425025939941,176.2144832611084,True
small_06,small,9,4,442,PLI,OK,124.0,0.6605851650238037,114.75,True
small_07,small,13,4,482,DP,OK,121.0,1.8795263767242432,656.9986200332642,True
small_07,small,13,4,482,PLI,OK,121.0,0.649162769317627,115.2109375,True
small_08,small,11,4,389,DP,OK,98.0,0.7957150936126709,191.3376636505127,True
small_08,small,11,4,389,PLI,OK,98.0,0.6630175113677979,114.49609375,True
small_09,small,15,4,743,DP,OK,186.0,7.8845319747924805,2228.137128829956,True
small_09,small,15,4,743,PLI,OK,186.0,0.6881506443023682,115.96484375,True
medium_00,medium,24,4,2469,DP,MEMORY_GUARD,,8.821487426757812e-06,0.0004253387451171875,False
medium_00,medium,24,4,2469,PLI,OK,618.0,0.8374233245849609,117.6171875,True
medium_01,medium,20,4,2252,DP,MEMORY_GUARD,,8.106231689453125e-06,0.0004253387451171875,False
medium_01,medium,20,4,2252,PLI,OK,563.0,0.9919328689575195,119.14453125,True
medium_02,medium,18,4,1806,DP,MEMORY_GUARD,,8.58306884765625e-06,0.0004253387451171875,False
medium_02,medium,18,4,1806,PLI,OK,452.0,0.9937560558319092,119.04296875,True
