id,categoria,n,m,P,metodo,stato,cmax,tempo_sec,memoria_mb,risolto
small_00,small,14,3,706,DP,OK,236,0.0072536468505859375,6.900910377502441,True
small_00,small,14,3,706,PLI,OK,236,0.7816355228424072,116.0234375,True
small_01,small,10,3,594,DP,OK,198,0.002229452133178711,1.7087669372558594,True
small_01,small,10,3,594,PLI,OK,198,0.8129429817199707,114.41015625,True
small_02,small,8,3,346,DP,OK,119,0.0013871192932128906,0.4603691101074219,True
small_02,small,8,3,346,PLI,OK,119,0.7858338356018066,99.8203125,True
small_03,small,11,3,595,DP,OK,206,0.004856109619140625,2.503389358520508,True
small_03,small,11,3,595,PLI,OK,206,0.8165223598480225,115.109375,True
small_04,small,11,3,426,DP,OK,142,0.002351045608520508,2.152385711669922,True
small_04,small,11,3,426,PLI,OK,142,0.7257640361785889,112.41015625,True
small_05,small,12,3,764,DP,OK,255,0.009943723678588867,5.048496246337891,True
small_05,small,12,3,764,PLI,OK,255,0.7168114185333252,114.44921875,True
small_06,small,9,3,442,DP,OK,151,0.0012278556823730469,0.950901985168457,True
small_06,small,9,3,442,PLI,OK,151,0.714970588684082,114.42578125,True
small_07,small,13,3,482,DP,OK,161,0.0020608901977539062,4.026012420654297,True
small_07,small,13,3,482,PLI,OK,161,0.5626211166381836,114.609375,True
small_08,small,11,3,389,DP,OK,130,0.001486063003540039,1.9674320220947266,True
small_08,small,11,3,389,PLI,OK,130,0.5620613098144531,114.7109375,True
small_09,small,15,3,743,DP,OK,248,0.0046765804290771484,8.617433547973633,True
small_09,small,15,3,743,PLI,OK,248,0.6642358303070068,115.16015625,True
medium_00,medium,24,3,2469,DP,OK,823,0.16338872909545898,106.74948120117188,True
medium_00,medium,24,3,2469,PLI,OK,823,0.7575626373291016,115.87890625,True
medium_01,medium,20,3,2252,DP,OK,751,0.1257326602935791,85.95987319946289,True
medium_01,medium,20,3,2252,PLI,OK,751,0.7832686901092529,116.3359375,True
medium_02,medium,18,3,1806,DP,OK,602,0.053168296813964844,51.75863265991211,True
